,name,price,description,size,abv,list_of_flavors,style_list,avg_rating,num_rating,subtitle,current_date,product_link
169,Two Stacks Smoke & Mirrors Peated Single Malt Stout Cask,£49.95,"A peated Irish whiskey from Two Stacks that has been matured in a combination of ex-bourbon and ex-imperial stout casks, creating a complex, well-balanced character. Aromas of honeydew melons, sweet barley, rhubarb, peach, toffee and soft peat smoke fill the nose, complemented by notes of honey, dry peat, white peaches, dark chocolate and creamy vanilla throughout the palate.",70cl,48%,"['Vanilla ', 'Peach', 'Smoke', 'Dark Chocolate', 'Honey ', 'Toffee']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Blended Irish Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/57044/two-stacks-smoke-mirrors-peated-single-malt-stout-cask
170,Two Stacks The Blender's Cut Sauternes Cask Finish,£88.95,"A limited-edition Irish whiskey from Two Stacks that was initially matured in a combination of virgin oak, ex-bourbon and ex-sherry casks, before being finished in a single French oak cask that previously held Sauternes wine from Bordeaux. The palate offers notes of honeysuckle, cinnamon, nutmeg and crystalised ginger.",70cl,63.5%,"['Ginger', 'Nutmeg', 'Cinnamon', 'Honeysuckle']",None,4,1,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/57042/two-stacks-the-blenders-cut-sauternes-cask-finish
171,Two Stacks The Blender's Cut Cask Strength,£88.95,"A sweet and spicy cask strength blended Irish whiskey from Two Stacks, The Blenders Cut is made with a combination of grain, malt and pot still whiskies, including a small amount of peated malt whiskey, matured in a combination of virgin oak, ex-bourbon and ex-oloroso sherry casks.",70cl,65%,None,"['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Blended Irish Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/55770/two-stacks-the-blenders-cut-cask-strength
172,Two Stacks The First Cut,£37.95,"A sweet and spicy blended Irish whiskey from Two Stacks, The First Cut is made with a combination of grain, malt and pot still whiskies, including a small amount of peated malt whiskey, matured in a combination of virgin oak, ex-bourbon and ex-oloroso sherry casks.",70cl,43%,None,"['Body', 'Richness', 'Smoke', 'Sweetness']",5,1,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/55769/two-stacks-the-first-cut
173,Tyrconnell Single Malt,£32.95,"A superb Irish single malt, with a creamy character and a wonderfully smooth palate. Very drinkable.

Tasting Notes (2)",70cl,43%,None,None,4.5,24,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2913/tyrconnell-single-malt
174,"Whisky Agency Irish Malt 1989
27 Year Old for TWE",£650,"A very limited run of gorgeous, long-aged Irish whiskey, bottled exclusively for us by The Whisky Agency. The late 80s and early 90s were a sweet spot for whiskey from this anonymous Irish distillery, with a huge amount of fruity flavour in every bottling. This one zeroes in on mangoes, and is one of the juiciest drams we've ever tried. A must-taste for fans of the style.",70cl,46.8%,None,None,None,None,"Irish Single Malt Whiskey
The Whisky Agency",08/09/2022,https://www.thewhiskyexchange.com/p/39306/whisky-agency-irish-malt-1989-27-year-old-for-twe
175,Waterford Gaia Organic 2.1,£78.45,"Batch 2.1 of Waterford's Gaia Organic Irish single malt whiskey is part of a series which champions farmers that are growing barley with sustainable methods that respect the land and prioritise flavour over yield. Gaia Organic 2.1 is made with barley harvested in 2016 and offers aromas of orange peel, freshly-baked bread, milk chocolate, fig rolls, lavender, marshmallows and buttermilk that fill the nose, complemented by notes of white pepper, grapefruit, liquorice, cherries, dark chocolate, toast, peaches and lemon zest throughout the palate.",70cl,50%,"['Liquorice root', 'Lemon', 'Figs', 'Peach', 'Cherry', 'Toast']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,1,"Irish Single Malt Whisky
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/61695/waterford-gaia-organic-21
176,Waterford The Cuvee,£71.45,"Hotly anticipated single malt from Waterford. The terroir focused operation began work in 2014, filling casks with spirit distilled from barley grown at individual farms around Ireland. With this landmark release, the Waterford team have drawn on their mature stocks of single origin whisky and married them together, balancing the flavours derived from different terroirs to create depth and balance. The result is a characterful dram, oily in texture and slightly spicy with gingerbread and clove alongside fresh apple, marmalade and toasted grains.",70cl,50%,"['White Pepper', 'Ginger', 'Nutmeg', 'Orange ', 'Apple', 'Biscuits']","['Body', 'Richness', 'Smoke', 'Sweetness']",3,2,"Irish Single Malt Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/61553/waterford-the-cuvee
177,Waterford Hook Head 1.1,£71.45,"Hook Head 1.1 is part of Waterford's Single Farm Origin series and is made exclusively with Irish Propino barley from Hook Head farm's 2015 harvest. Matured in a variety of casks, including first-fill bourbon barrels, virgin American oak and French oak casks for three years and eight months.",70cl,50%,"['White Pepper', 'Ginger', 'Clove', 'Orange ', 'Biscuits', 'Caramel']",None,None,None,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/58753/waterford-hook-head-11
178,Waterford Luna 1.1 Biodynamic,£91.95,"One for the history books: this is the first single malt ever to be made from biodynamic barley. The approach to framing proposed by Rudolf Steiner treats a piece of land and the crops thereon as a single organism to be kept healthy and harmonious. This ground-breaking dram is remarkably vibrant and expressive, showing white fruit, wildflower honey and citrusy notes of farmhouse ale on the nose. The perfumed notes then gives way to a palate of apple pie, lemon zest and stony minerality.",70cl,50%,"['Earth', 'Lemon', 'Pear ', 'Apple', 'Biscuits', 'Honeysuckle']","['Body', 'Richness', 'Smoke', 'Sweetness']",3,4,"Irish Single Malt Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/61694/waterford-luna-11-biodynamic
179,Waterford Lakefield 1.1,£71.45,"The first release of Lakefield Irish single malt whiskey from Waterford is part of its Single Farm Origin range. Made with barley harvested in 2016, Lakefield 1.1 was matured in a variety of casks for three and a half years before being bottled. The palate offers notes of apple crumble, stewed rhubarb and clove that linger in the finish.",70cl,50%,"['Clove', 'Apple', 'Rhubarb', 'Brioche']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/58752/waterford-lakefield-11
180,Waterford Grattansbrook 1.1,£71.45,"An Irish single malt whiskey from Waterford's Single Farm Origin series, made exclusively with barley from Grattansbrook farm and matured for three years in a variety of casks. Aromas of marzipan, white grapes and lemon zest fill the nose, complemented by notes of raisins, chocolate spread, brown sugar, orange zest, cinnamon, ginger and banana throughout the palate.",70cl,50%,"['Cinnamon', 'Raisins ', 'Orange ', 'Lemon', 'Banana', 'Milk Chocolate']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/58751/waterford-grattansbrook-11
181,Waterford Ballymorgan 1.2,£71.45,"The second release of Ballymorgan Single Farm Origin Irish single malt whiskey from Waterford is made exclusively with barley grown by Robert Milne in County Wexford. Fruity aromas of orange, mango and treacle fill the nose, complemented by notes of cinnamon, nutmeg and fresh malt on the palate.",70cl,50%,"['Vanilla ', 'Nutmeg', 'Cinnamon', 'Orange ', 'Mango', 'Butterscotch']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/57493/waterford-ballymorgan-12
182,Waterford Sheestown 1.2,£71.45,"A Single Farm Origin single malt Irish whiskey from Waterford, Sheestown 1.2 is made exclusively with barley grown by Phillip O'Brien in Sheestown, Kilkenny. Softly spiced aromas of cinnamon, black pepper and cooked pears fill the nose, complemented by notes of malted barley, vanilla, apples and caraway throughout the palate.",70cl,50%,"['Vanilla ', 'Black Pepper', 'Cinnamon', 'Pear ', 'Apple', 'Caraway']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/57492/waterford-sheestown-12
183,Waterford Gaia Organic 1.1,£78.45,"The first organic Irish single malt whiskey from Waterford, Gaia 1.1 is made using 100% organic barley grown on seven different farms in Ireland. It has been matured in a combination of ex-bourbon, virgin American oak, French oak and Vin Doux Naturel wine casks creating a fruity, spicy character.",70cl,50%,None,None,None,None,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/56320/waterford-gaia-organic-11
184,Waterford Ballymorgan 1.1,£89.95,"The barley used to make Waterford Ballymorgan 1.1 Single Farm Origin Irish whiskey was grown in County Wexford, just an hour away from the distillery and matured in a combination of French and American oak casks.",70cl,50%,None,None,None,None,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/55378/waterford-ballymorgan-11
185,Waterford Sheestown 1.1,£89.95,"Sheestown 1.1 is a single farm origin Irish whiskey from Waterford, made with barley grown just outside of the historic town of Kilkenny. Matured in a combination of French and American oak casks.",70cl,50%,None,None,None,None,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/55377/waterford-sheestown-11
186,Waterford Ballykilcavan 1.2,£69.95,Ballykilcavan Edition 1.2 from Waterford is made with 100% Taberna barley grown by David Walsh-Kemmis west of the Barrow in County Laois. Distilled in 2016 and matured in a combination French and American oak casks for three months longer than Edition 1.1.,70cl,50%,None,None,None,None,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/55376/waterford-ballykilcavan-12
187,Waterford Bannow Island 1.2,£69.95,"Part of the second wave of whiskies from Waterford, Bannow Island 1.2 is made using barley grown on the extreme southern coast of County Wexford by Ed Harpur. Aromas of pears, green apples, salted toffee, toasted barley and vanilla on the nose, as well as vanilla, white grapes and white pepper. The palate offers notes of apple crumble, cinnamon, toffee, lime zest and ginger, followed by butterscotch, white grapes and white pepper.",70cl,50%,"['White Pepper', 'Ginger', 'Cinnamon', 'Apple', 'Toffee', 'Grape']","['Body', 'Richness', 'Smoke', 'Sweetness']",4,1,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/55375/waterford-bannow-island-12
188,Waterford Ballykilcavan 1.1,£89.95,"One of two inaugural releases from Waterford in Ireland, a distillery dedicated to showcasing the character that different farms and their terroir can give to whisky. Ballykilcavan farm is in the middle of a wood, with rich soil and protection for wind perfect for growing barley. The resulting whisky is punchy and sweet, run through with fruit and spicy grain.",70cl,50%,"['Vanilla ', 'Cinnamon', 'Pear ', 'Apple', 'Oak', 'Hay']",None,5,1,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/54870/waterford-ballykilcavan-11
189,Waterford Bannow Island 1.1,£89.95,"One of the inaugural releases from Ireland's Waterford distillery, focusing on the differences in soil and terroir across the country. Bannow Island Edition 1.1 is made from barley grown by the sea, with the grain battered by salty breezes as it grows. Unsurprisingly it has a touch of brininess as part of its layered, complex and easy-drinking character.

Tasting Notes (1)",70cl,50%,"['Vanilla ', 'Cinnamon', 'Apple', 'Peach', 'Lime', 'Cream']",None,None,None,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/54869/waterford-bannow-island-11
190,West Cork Bog Oak Charred Cask,£35.95,"A triple distilled single malt Irish whiskey from West Cork Distillers, initially matured in ex-sherry casks and finished in charred bog oak casks. These casks are made using oak sourced from the local boglands of Glengarriff. Aromas of warm spice, leather and dried fruit fill the nose, complimented by notes of malt, cracked black pepper and baking spices throughout the palate.",70cl,43%,"['Black Pepper', 'White Pepper', 'Malt', 'Leather', 'Oak', 'Dried Fruit']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/60563/west-cork-bog-oak-charred-cask
191,West Cork Black Cask,£31.95,"A well-balanced blended Irish whiskey from West Cork Distillers, Black Cask is aged in first-fill bourbon casks for three years and finished for a further year in heavily charred bourbon casks. The palate is a balance of black pepper spice, creamy vanilla, fiery ginger and caramel, with hints of orange lingering in the finish.",70cl,40%,"['Vanilla ', 'Black Pepper', 'Ginger', 'Orange ']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/60564/west-cork-black-cask
192,Writers Tears Ulysses,£35.95,"A limited-edition blended Irish whiskey from Writers Tears, Ulysses commemorates the centenary of James Joyce's Ulysses and is presented in a stylish bottled designed by Studio Minerva, London. Aromas of apple, vanilla, honey and pot still spice fill the nose, complemented by notes of ginger, butterscotch, toasted oak, milk chocolate and toasted almonds throughout the palate.",70cl,40%,"['White Pepper', 'Ginger', 'Apple', 'Almond', 'Milk Chocolate', 'Butterscotch']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/67063/writers-tears-ulysses
193,Writers Tears Red Head,£55.95,"A fruity single malt Irish whiskey from Writer's Tears, Read Head is matured exclusively in oloroso sherry casks, creating aromas of candied orange peel, chocolate covered marzipan, dried fruit and praline that fill the nose. The palate offers notes of rich nuts, Christmas cake, tangy pineapple, liquorice and melted milk chocolate, with walnuts and baking spice lingering in the finish.",70cl,46%,"['Cinnamon', 'Marzipan', 'Walnut', 'Milk Chocolate', 'Christmas Cake', 'Dried Fruit']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/60682/writers-tears-red-head
194,Writers Tears Copper Pot,£35.95,Writers Tears Copper Pot Blend is a combination of pure pot still and malt whiskeys from an unnamed Cork distillery. Jim Murray gave this one 93 points.,70cl,40%,None,None,4.5,10,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/23875/writers-tears-copper-pot
195,Writers Tears Double Oak,£46.45,"Writers Tears Double oak marries both single malt and single pot still whiskies that have been matured in American oak casks and French oak Cognac casks from France's Allary Cooperage. Aromas of stewed fruits, earthy vanilla and apple crumble fill the nose, complemented by notes of white peaches, lychee, lemon peel, grapes and dark chocolate throughout the palate.",70cl,46%,"['Vanilla ', 'Lemon', 'Peach', 'Lychee', 'Dark Chocolate', 'Grape']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/60681/writers-tears-double-oak
196,Yellow Spot 12 Year Old,£76.95,"A second entry into the 'Spot' range, aged for 12 years and made up in part from spirit matured in Malaga casks for a sweet and moreish dram.

Tasting Notes (2)",70cl,46%,None,None,4.5,30,"Single Pot Still Irish Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/18038/yellow-spot-12-year-old
197,American Barrels Bourbon,£54.95,"Produced in Charleston, South Carolina, this eye-catching bottle of bourbon 'embodies two things Americans hold dear – whiskey barrels and gun barrels.' The top half of the bottle is glass and has a rattlesnake wrapped around it, evocative of the Gadsden flag that was designed by General Gadsden during the 1775 American Revolution.


Celebrating shots of all kinds, American Barrels is a small batch bourbon made from 60% corn, 36% rye and 4% malted barley. It has rich caramel aromas, underscored with vanilla and sizzling spice, with the palate reveals a youthful yet balanced bourbon with a caramel and oak finish.",75cl,45%,None,None,None,None,Bourbon Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/41111/american-barrels-bourbon
198,"Angel's Envy Bourbon
Port Finish",£57.45,"An interesting bourbon with a unique twist - after the initial maturation it takes a leaf out of Scotch Whisky's book and spends between 3 and 6 months finishing in port barrels. The more experimentation the better, we reckon, especially when it turns out something like this - marrying the sweet caramel and grain of bourbon with the rich sticky wine flavours of a port cask.",70cl,43.3%,"['Vanilla ', 'Raisins ', 'Dark Chocolate', 'Toast', 'Dried Fruit']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,33,Kentucky Straight Bourbon Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/15632/angels-envy-bourbon-port-finish
199,Balcones Brimstone,£52.75,"A smokey spirit with a difference. Firstly it's made in Texas by Balcones and secondly the smoke comes from a secret process involving Texas Scrub Oak. This is not smoky whisky like you've had before – a mix of campfires, fruit and youthful corn.",70cl,53%,None,None,5,2,Texas Spirit,08/09/2022,https://www.thewhiskyexchange.com/p/41000/balcones-brimstone
200,Balcones Texas Single Malt Whisky,£62.75,A single malt whisky made in Texas by craft distilling powerhouse Balcones. It appeared in July 2011 and has been picking up awards ever since.,70cl,53%,"['Banana', 'Honey ', 'Malt', 'Toast', 'Butter']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,4,Texas Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/41002/balcones-texas-single-malt-whisky
201,Balcones Texas Rye Whisky,£43.95,"Balcones introduced their 100% Rye Mashbill with Elbon Rye from Northwest Texas, and also includes crystal, chocolate and roasted rye. It is distilled in copper pot stills, which creates a full-bodied style of rye whiskey.",70cl,50%,"['Black Pepper', 'Orange ', 'Dark Chocolate', 'Oak', 'Coffee', 'Caramel']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,3,Texas Rye Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/46819/balcones-texas-rye-whisky
202,"Balcones 2016
4 Year Old Simply Whisky Dream Big",£84.95,"A 2016 Balcones American corn whiskey from Simply Whisky, matured for four years in a refill bourbon barrel before being bottled in December 2020.",70cl,65.7%,None,None,5,9,"American Single Corn Whiskey
Simply Whisky",08/09/2022,https://www.thewhiskyexchange.com/p/60269/balcones-2016-4-year-old-simply-whisky-dream-big
203,Balcones Baby Blue Corn Whisky,£42.45,"Made from roasted blue corn (a type of flint corn, like sweet corn, but with a distinctive blue colour). This received the prestigious Double Gold medal at the San Francisco World Spirits Competition and has butter, corn, spice and fruit notes, alongside a rounded nuttiness.

Tasting Notes (1)",70cl,46%,None,None,5,4,Texas Corn Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/43491/balcones-baby-blue-corn-whisky
204,Balcones Pot Still Bourbon,£39.95,"A bold, flavour-forward Texan pot still bourbon from Balcones, matured in charred oak casks, creating aromas of honeycrisp apples, toasted oak, popcorn, savoury crackers and well-oiled leather that fill the nose. The palate offers notes of honey, vanilla cream, roasted pecans, sandalwood and leather that linger in the finish.",70cl,46%,"['Vanilla ', 'Apple', 'Honey ', 'Leather', 'Cream', 'Oak']","['Body', 'Richness', 'Smoke', 'Sweetness']",1,1,Texas Straight Bourbon Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/61515/balcones-pot-still-bourbon
205,Very Old Barton 100 Proof Bourbon,£79.95,"A Kentucky Straight Bourbon from Barton Brands, part of the Sazerac company since 2009, produced at the Tom Moore distillery in Bardstown Kentucky. Packed full of corny flavour (with a 75% corn mash) it's a standard across Kentucky.",75cl,50%,None,None,5,4,Kentucky Straight Bourbon Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/17307/very-old-barton-100-proof-bourbon
206,Basil Hayden's Bourbon,£43.95,"Created in 1796 by Basil Hayden, who went against the grain (no pun intended) by adding in rye into the traditional corn-based mashbill. It was a huge hit and today is one of Jim Beam's 'Small Batch' range of bourbons.

Tasting Notes (1)",70cl,40%,"['Vanilla ', 'Lemon', 'Dark Chocolate', 'Cream', 'Butter', 'Brioche']","['Body', 'Richness', 'Sweetness']",5,4,Small Batch Kentucky Straight Bourbon Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/21520/basil-haydens-bourbon
207,Benchmark No. 8 Straight Bourbon,£20.95,"Benchmark is a rye-recipe Kentucky straight bourbon from the Buffalo Trace distillery, awarded 90 points by Wine Enthusiast and a former Gold Medal and Trophy winner at the International Spirits Challenge.",70cl,40%,"['Vanilla ', 'Orange ', 'Toffee', 'Butterscotch', 'Custard']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,70,Kentucky Straight Bourbon Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/1012/benchmark-no-8-straight-bourbon
208,Bernheim Original,£76.75,"Bernheim Original is made by Heaven Hill and is the only straight wheat American whiskey available. A winner of the Gold 'Editor's Choice Award' from Whisky Magazine with a score of 17.75 out of 20 from Dave Broom & Michael Jackson, Bernheim is 51% winter wheat, 39% corn and 10% barley malt. A soft, mellow, fruity palate with gentle vanilla notes.

Tasting Notes (5)",75cl,45%,"['Vanilla ', 'Toast', 'Stewed Fruit', 'Brioche']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,6,Kentucky Straight Wheat Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/1014/bernheim-original
209,"Biltmore Pure Rye Whiskey
Bot.1920s Hiram Walker","£1,500","This Canadian rye whiskey was bottled in the 1920s by Hiram Walker & Sons.


Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",94.6cl,50%,None,None,None,None,Canadian Pure Rye Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/47184/biltmore-pure-rye-whiskey-bot1920s-hiram-walker
210,Blood Oath Bourbon Pact No.5,£299,"Released in 2019 Blood Oath Bourbon Pact No. 5 is a combination of three different whiskies - a 13-year-old bourbon, and 11-year-old wheated bourbon and an eight-year-old bourbon that has been finished in Caribbean rum casks. This has created notes of black pepper, dark chocolate, vanilla, honey, orange, brown sugar and warm spices on the palate.",70cl,49.3%,"['Vanilla ', 'Black Pepper', 'Cinnamon', 'Orange ', 'Dark Chocolate', 'Honey ']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Kentucky Straight Bourbon Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/55267/blood-oath-bourbon-pact-no5
211,"Booker's Bourbon
6 Year Old Donohoe's Batch",£72.95,"Booker Noe first released his signature bourbon in 1992. This 2021 bottling is named in hour of former employee, and close friend of Booker Noe, Mike Donohoe, who was instrumental in the brand's creation.


Bottled straight from the barrel, unfiltered and without additions, this is bourbon at its purest. Aged for 6 years, 11 months and 4 days, it has notes of vanilla, toasted nuts and hints of baking spices.",70cl,62.65%,None,None,None,None,Kentucky Straight Bourbon Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/61592/bookers-bourbon-6-year-old-donohoes-batch
212,"Boondocks 8 Year Old Bourbon
Port Cask Finish",£66.25,"A bold 8-year-old bourbon from highly-rated Boondocks, this is a flavourful whiskey lent an impressive depth of character by its finishing in port pipes. Think rich, smooth bourbon flavour run through with oaky vanilla, a whiff of smoke and ribbons of red fruit. Complex and satisfying, it’s fantastic on its own or in a bourbon cocktail.",75cl,45%,"['Vanilla ', 'Raisins ', 'Blackberry', 'Oak', 'Plums', 'Caramel']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,2,Kentucky Straight Bourbon Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/45399/boondocks-8-year-old-bourbon-port-cask-finish
213,Boondocks 3 Year Old Straight Rye,£52.95,"A three-year-old straight rye whiskey from Boondocks, matured in virgin American oak casks to create layers of caramel, vanilla, toffee, fresh grass and white pepper throughout the palate.",75cl,46%,"['Vanilla ', 'White Pepper', 'Grass', 'Toffee', 'Caramel']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Straight Rye Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/57456/boondocks-3-year-old-straight-rye
214,"Boondocks 11 Year Old
Cask Strength",£62.45,"A complex cask-strength American whiskey from Boondocks, this was aged for 11 years. Earthy and spicy with notes of cereal, milk chocolate and leather.",75cl,59%,"['Vanilla ', 'Cinnamon', 'Cherry', 'Leather', 'Oak', 'Butter']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,American Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/45401/boondocks-11-year-old-cask-strength
215,Boondocks 11 Year Old,£50.75,"A blend of corn, malt and rye, this American whiskey is creamy with notes of butter, toasted marshmallows, fruit and exotic spice.",75cl,47.5%,"['Nutmeg', 'Cherry', 'Milk Chocolate', 'Butter', 'Dried Fruit']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,American Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/45400/boondocks-11-year-old
216,Bourbon Deluxe 4 Year Old,£32.95,"A four-year-old straight bourbon produced by Jim Beam at their distillery in Clermont, Kentucky. This young bourbon is versatile and can either be drunk neat, as part of a long drink or in cocktails.",75cl,40%,None,None,None,None,Kentucky Straight Bourbon Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/7813/bourbon-deluxe-4-year-old
217,Bower Hill Reserve Rye,£77.25,"Bower Hill Reserve is a classic American rye, with lots of spice to complement vanilla, orange and apricot flavours. This is superb either on the rocks or in a cocktail.",75cl,43%,"['Vanilla ', 'Mint', 'Orange ', 'Apricot']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Straight Rye Bourbon Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/38248/bower-hill-reserve-rye
218,Breckenridge Straight Bourbon,£74.95,"A fruity, spicy bourbon from Brekenridge that offers aromas of green bananas, brown sugar, white pepper and toasted sesame seeds throughout the nose. The palate is light and creamy, with notes of sweet oak, vanilla and a slight bitter-spice, reminiscent of toasted rye bread with honey.",75cl,43%,"['Vanilla ', 'White Pepper', 'Apple', 'Banana', 'Honey ']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,None,08/09/2022,https://www.thewhiskyexchange.com/p/52710/breckenridge-straight-bourbon
219,Buffalo Trace Bourbon,£26.95,Buffalo Trace is a really classy bourbon from the eponymous distillery that has been responsible for some truly outstanding products in recent years. A must-stock for any bar worthy of the name and probably the best all-rounder at the price,70cl,40%,"['Mint', 'Cinnamon', 'Toffee', 'Custard', 'Caramel']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,73,Kentucky Straight Bourbon Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/15620/buffalo-trace-bourbon
220,Buffalo Trace White Dog Straight Rye,£27.75,"An unaged rye spirit from Buffalo Trace Distillery, White Dog Rye Mash pays homage to the first spirits made by settlers in America, known as White Dog, which would later become whiskey. The palate is fresh and green, with spicy rye notes and sweet, creamy cereals.",37.5cl,62.5%,"['Black Pepper', 'Grass', 'Apple']",None,None,None,"Unaged American Spirit
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/51865/buffalo-trace-white-dog-straight-rye
221,"Buffalo Trace White Dog Mash 1
Half Bottle",£26.25,"The fad for distilleries releasing their new make spirit continues, this time in the form of Buffalo Trace's 'White Dog', the affectionate name given to unaged whiskey. Competitively-priced and attractively packaged, we reckon that Buffalo Trace's extra style credentials could well see this becoming a hit cocktail ingredient.",37.5cl,62.5%,"['Black Pepper', 'Grass', 'Apple', 'Oil']",None,5,5,Unaged American Spirit,08/09/2022,https://www.thewhiskyexchange.com/p/12766/buffalo-trace-white-dog-mash-1-half-bottle
222,Bulleit '95' Rye,£32.95,"A rich and spicy rye whiskey, with one of highest rye ratios (95%) we've seen. Loaded with fruit and spice, it's a terrific rye for the price, and is just as tasty sipped neat as it is served in your favourite whiskey cocktail.",70cl,45%,"['Vanilla ', 'Grass', 'Peach', 'Honey ']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,30,Straight Rye Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/15258/bulleit-95-rye
223,Bulleit Bourbon Whiskey,£29.95,"Packaged in an old-style bottle, Bulleit whiskey has developed a loyal following in the UK. The high rye content (around 30%) gives this bourbon a spicy kick.

Tasting Notes (1)",70cl,45%,"['Nutmeg', 'Clove', 'Cinnamon', 'Apricot', 'Almond']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,37,Kentucky Straight Bourbon Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/22222/bulleit-bourbon-whiskey
