,name,price,description,size,abv,list_of_flavors,style_list,avg_rating,num_rating,subtitle,current_date,product_link
53,Gelston's Blended Whiskey,£21.75,"A blended Irish whiskey from Gelston's, made with a blend of locally sourced Irish malted barley and grain whiskey that is matured in ex-bourbon casks.",70cl,40%,"['Vanilla ', 'Cinnamon', 'Orange ', 'Apple', 'Honey ']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,1,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/59084/gelstons-blended-whiskey
54,Glendalough Double Barrel Single Grain,£33.45,"Glendalough Double Barrel is a single grain Irish whiskey, aged in a combination of bourbon and oloroso sherry casks. Sweet and creamy, with butterscotch and honey from the American oak and dried fruit from the Spanish.

Tasting Notes (1)",70cl,42%,None,None,4,7,Single Grain Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/29135/glendalough-double-barrel-single-grain
55,Glendalough Pot Still,£47.95,"A single malt Irish whiskey from Glendalough, made using a traditional pot still and finished in virgin Irish oak casks. The result is a malty, sweet whiskey with notes of honey, oak and ginger on the palate.",70cl,43%,"['Ginger', 'Honey ', 'Malt', 'Oak']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Single Pot Still Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/52747/glendalough-pot-still
56,"Glendalough 7 Year Old
Mizunara Finish",£66.95,"A seven-year-old Irish single malt whiskey from Glendalough that was initially matured in ex-bourbon casks before a long finish in Japanese mizunara oak casks. The palate offers notes of dark chocolate, orange oil, sandalwood, cinnamon, lemon zest and green apples that linger in the finish.",70cl,46%,"['Cinnamon', 'Orange ', 'Lemon', 'Apple', 'Dark Chocolate']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/66157/glendalough-7-year-old-mizunara-finish
57,"Green Spot
Single Pot Still",£42.95,"This historic single pot still Irish whiskey used only to be available in Dublin grocer Mitchell's, but now has spread across the world to huge acclaim. A delightful combination of fruit, toffee and malt.

Tasting Notes (1)",70cl,40%,"['Pear ', 'Apple', 'Malt', 'Toffee']",None,5,61,"Single Pot Still Irish Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/15320/green-spot-single-pot-still
58,"Green Spot
Leoville Barton Bordeaux Finish",£58.45,"A special edition of Green Spot, this was aged initially in a combination of bourbon- and oloroso-sherry casks before being finished for up to two years in barriques from famed Bordeaux winery Château Léoville Barton. A sweet blend of orchard fruit and spicy flavours.


Spot whiskeys originated in Dublin in the 1800s, Mitchel & Sons gained a reputation for producing the finest single pot still whiskeys, marking casks with coloured dots to signify aging potential.

Tasting Notes (2)",70cl,46%,"['Nutmeg', 'Clove', 'Apple', 'Melon', 'Raspberry', 'Custard']",None,4.5,16,"Single Pot Still Irish Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/30079/green-spot-leoville-barton-bordeaux-finish
59,"Green Spot
Chateau Montelena Finish",£60.45,"The Mitchell's Spot whiskeys have always had an affinity for wine, and this Green Spot shows that off even further. Rich and spicy triple-distilled pot-still whiskey from Midleton is initially aged in bourbon and sherry casks before being finished for 12 months in casks that used to hold rich red Zinfandel wine from the famed Chateau Montelena in California's Napa Valley. Montelena was bought by Irishman Jim Barrett in the 1970s, and this release celebrates the shared heritage of his wine and Midleton's fine whiskey. It's rich and spicy, with layers of marzipan and toasted oak on top of the pot-still fruit and weightiness.",70cl,46%,None,None,4,3,Single Pot Still Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/45889/green-spot-chateau-montelena-finish
60,"Green Spot 1991

26 Year Old Marsala Cask TWE Exclusive","£1,500","A very special bottling, selected by and exclusive to The Whisky Exchange: a single cask of 26-year-old Green Spot pot still whiskey, distilled at Midleton and filled into cask on 18 October 1991. It was initially matured in bourbon and sherry casks, before the spirit was reracked into a single Marsala butt for further maturation. The result brings together the fresh fruit flavours of bourbon-cask maturation with the richer dried fruit notes you get from sherry casks, and stirs them both together with fragrant Marsala and classic Irish pot-still fruit and spice.

Tasting Notes (1)",70cl,55.7%,None,None,5,4,Single Pot Still Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/44657/green-spot-1991-26-year-old-marsala-cask-twe-exclusive
61,"Green Spot 2006

12 Year Old Bourbon Cask TWE Exclusive",£700,"Specially selected by and exclusively available from The Whisky Exchange, this single-cask shows why we love Green Spot. Bonded on 27 February 2006 and matured in a single first-fill bourbon cask, it's zingy, fruity and packed with rich pot-still character.

Tasting Notes (1)",70cl,59%,None,None,None,None,Single Pot Still Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/44656/green-spot-2006-12-year-old-bourbon-cask-twe-exclusive
62,Hinch Pot Still,£42.25,"A herbaceous and biscuity triple distilled single pot still Irish whiskey from Hinch. The palate offers notes of tart fruits; plums and blackberries, with hints of zesty oranges and cinnamon spice.",70cl,43%,"['Cinnamon', 'Orange ', 'Blackberry', 'Biscuits', 'Plums']","['Body', 'Richness', 'Smoke', 'Sweetness']",4,1,"Single Pot Still Irish Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/54412/hinch-pot-still
