,name,price,description,size,abv,list_of_flavors,style_list,avg_rating,num_rating,subtitle,current_date,product_link
149,"Teeling 1991
29 Year Old Rum Cask TWE Exclusive",£595,"A 1991 Teeling Irish single malt whiskey, matured in a single rum cask, before being bottled in August 2021 exclusively for The Whisky Exchange at 29-years-old.

Tasting Notes (1)",70cl,52.4%,"['Lime', 'Pineapple', 'Mango', 'Papaya', 'Honey ', 'Oak']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,"Irish Single Malt Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/61582/teeling-1991-29-year-old-rum-cask-twe-exclusive
150,Teeling Blackpitts Peated Single Malt,£49.95,"A peated Irish single malt whiskey from Teeling, Blackpitts is a rich, smoky whiskey that takes its name from the area behind Teeling distillery that used to be home to some of the largest barley malting houses in Ireland. Aromas of butterscotch, barbecue smoke, clove and orange peel fill the nose, complemented by notes of applewood smoke, honey, grilled pineapple, stewed pears, salted caramel and savoury peat smoke throughout the palate.",70cl,46%,"['Pear ', 'Apple', 'Pineapple', 'Smoke', 'Honey ', 'Caramel']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,1,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/56421/teeling-blackpitts-peated-single-malt
151,Teeling Single Grain Whiskey,£41.95,"Released in 2013, Teeling's Single Grain Whiskey has been matured full term in Californian Cabernet Sauvignon wine barrels, resulting in a spicy and fruity whiskey.

Tasting Notes (1)",70cl,46%,"['Leaves', 'Cinnamon', 'Wine', 'Toffee', 'Butter', 'Mixed Herb']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,11,Irish Single Grain Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/23085/teeling-single-grain-whiskey
152,"Teeling 18 Year Old Renaissance Series 5
Calvados Cask Finish",£120,"The fifth release in Teeling's Renaissance series is an 18-year-old Irish single malt that was initially matured in ex-bourbon barrels and finished in ex-Calvados casks, before being bottled in January 2022. Aromas of candied apples, cinnamon, baked pears and mint fill the nose, complemented by notes of apple pie, golden raisins, pink peppercorn, dried cherries, maple syrup and oak throughout the palate and lingering in the finish.",70cl,46%,"['White Pepper', 'Raisins ', 'Apple', 'Cherry', 'Oak', 'Dried Fruit']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/65657/teeling-18-year-old-renaissance-series-5-calvados-cask-finish
153,Teeling Single Malt Whiskey,£47.45,"Teeling's single malt contains whiskeys aged for up to 23 years, which have been matured in a range of wine casks: sherry, port, Madeira, white Burgundy and Cabernet Sauvignon. A rich and spicy whiskey.

Tasting Notes (2)",70cl,46%,"['Vanilla ', 'Clove', 'Lemon', 'Oak', 'Dried Fruit']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,13,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/27168/teeling-single-malt-whiskey
154,"Teeling 18 Year Old Renaissance Series 4
Pineau des Charentes Cask Finish",£122,"The fourth release in Teeling's Renaissance series is an 18-year-old Irish single malt whiskey that was initially matured in ex-bourbon barrels and finished in ex-red Pineau des Charentes fortified wine casks. Aromas of dried fruit, pressed grapes, floral honeysuckle and candied citrus fill the nose, complemented by notes of apricot, pineapple, candied cherries, toasted almonds and clove spice throughout the palate.",70cl,46%,"['Clove', 'Apricot', 'Cherry', 'Almond', 'Honeysuckle', 'Dried Fruit']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/65656/teeling-18-year-old-renaissance-series-4-pineau-des-charentes-cask-finish
155,"Teeling Whiskey 1989
 32 Year Old Vintage Reserve Collection","£1,775","A 1989 Teeling single malt Irish whiskey from its Vintage Reserve Collection that was initially matured in ex-rum casks, before a second maturation in Pedro Ximenez sherry casks and bottled at 32-years-old. Aromas of honey, brambles, plums, creamy vanilla and raisins fill the nose, complemented by notes of dark chocolate, dried fruit, roasted hazelnuts, burnt sugar, malt and oak throughout the palate.",70cl,46%,"['Vanilla ', 'Hazelnut', 'Dark Chocolate', 'Malt', 'Oak', 'Dried Fruit']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/67666/teeling-whiskey-1989-32-year-old-vintage-reserve-collection
156,Teeling Stout Cask Finish,£41.95,"A rich and chocolatey Irish whiskey from Teeling that has been finished in 200 Fathoms Imperial Stout casks from Galway Bay Brewery. Aromas of chocolate, rye spice, coffee and malt fill the nose, complemented by notes of creamy caramel, vanilla, orange, plum, chocolate biscuits and sweet malt throughout the palate.",70cl,46%,"['Vanilla ', 'Orange ', 'Milk Chocolate', 'Malt', 'Biscuits', 'Caramel']",None,no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/60857/teeling-stout-cask-finish
157,"Teeling 1983
37 Year Old","£7,400","One of the oldest Irish single malt whiskies ever released, Teeling 37 Year Old is the latest release in Teeling's Vintage Reserve Collection and was bottled in May 2020 after 37 years in a single ex-bourbon cask.",70cl,41.3%,None,None,no rating,no rating,"Single Malt Irish Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/56420/teeling-1983-37-year-old
158,"Teeling Vintage Reserve 1991
24 Year Old",£750,,70cl,46.9%,None,None,no rating,no rating,"Irish Single Malt Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/48930/teeling-vintage-reserve-1991-24-year-old
159,"Teeling Vintage Reserve 1991
24 Year Old",£750,,70cl,50.2%,None,None,no rating,no rating,"Irish Single Malt Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/48929/teeling-vintage-reserve-1991-24-year-old
160,"The Dead Rabbit Irish Whiskey
5 Year Old",£44.25,"A whiskey created by the Dublin Liberties distillery and the founders of the New York's excellent Dead Rabbit Saloon, one of the world's best cocktail bars and an all-round great place to go for a drink. A blend of malt and grain whiskeys, this is matured first in bourbon casks before a finish in virgin American-oak casks for an extra kick of spice.",70cl,44%,None,None,5,8,Irish Blended Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/43316/the-dead-rabbit-irish-whiskey-5-year-old
161,The Pogues Single Malt Irish Whiskey,£22.25,"A single malt whiskey made by West Cork Distillers and famous band The Pogues. Matured in ex-bourbon casks, this Irish whiskey has delicately floral nose, with aromas of lavender, meadow flowers, sesame, caramelised cashews and salted chocolate. The palate offers notes of dry oak, chai spice, peanut butter, s'mores and summer flowers.",70cl,40%,None,None,3.5,6,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/51160/the-pogues-single-malt-irish-whiskey
162,"Irish Single Malt 1990
29 Year Old The Whisky Agency",£750,"A 1990 Irish single malt whiskey from indie bottler The Whisky Agency, matured in a single barrel for almost three decades before being bottled in 2019.",70cl,48.5%,None,None,no rating,no rating,"Irish Single Malt Whisky
The Whisky Agency",08/09/2022,https://www.thewhiskyexchange.com/p/54951/irish-single-malt-1990-29-year-old-the-whisky-agency
